MaxReturn,TransfBits,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,TotalAverageReturn,Entropy,AveragePolicyStd,Perplexity,ExplainedVariance,AverageReturn
999.7305989171269,1615360,6,16,487.9186519566665,39.94215266684268,343.4874329005452,523.662963441028,1.31414120871819,0.9005070148139411,3.7215535747288233,0.5900572742499114,733.0225329244837
999.8335991907679,1716320,5,17,589.4437712696904,659.5516401160429,137.1219420392502,573.3527414797751,1.3110708429046392,0.8977463691256167,3.7101445677350613,0.6880381680742704,895.7101099884937
999.80597970106,1817280,5,18,573.0667703940187,609.5900261482184,143.370161559969,550.5859443333395,1.3082165525581981,0.8951875938116969,3.69956983676707,0.5387542440162933,857.6911674130527
999.8306123857832,1918240,4,19,633.8225717743549,999.7016077038064,0.05954174902499765,585.9133866561581,1.3049313835424967,0.8922515765622551,3.687436066224057,0.8440877644326619,999.7617899141271
999.8145006636606,2019200,4,20,633.7764854920497,999.5686950017167,0.09502174988088069,598.2928024168037,1.3010210812508642,0.8887694157653692,3.6730452311186723,0.9931550232273956,999.7194178050877
999.8320362320393,2120160,5,21,632.3149925067707,979.6978730420444,8.017428429684093,589.6579397209849,1.2987892184388805,0.8867880162862817,3.6648566393664037,0.9991482284701615,995.7324038298536
999.8426479721096,2221120,4,22,633.7720662428874,999.6031595560383,0.09716447996155776,543.3002812713848,1.2965388703470477,0.884794678259384,3.6566187088032787,0.7911412037703983,999.7065729367117
999.8652843560941,2322080,5,23,511.0262026344902,19.96612680586377,391.9212625515397,589.5094210628889,1.292798464212906,0.8814913685286404,3.642967017106655,0.914653976822639,803.8086363958357
999.7840079675137,2423040,4,24,633.7536144259469,999.4446204605904,0.1384859629101791,600.3291667597357,1.2882363838450055,0.8774790931819101,3.6263853609798518,0.9999989643705842,999.6822958440413
999.8457548341381,2524000,4,25,633.7185419879053,999.3599081777302,0.17282383572670773,603.8469005858033,1.2846109044316736,0.8743035706679817,3.613261779520819,0.9999991625973984,999.6165561723244
999.8488407771328,2624960,4,26,633.783113651329,999.6370529322321,0.08157277984541718,576.2977070427916,1.2817726551770168,0.8718255974265178,3.6030209818111443,0.999999439827875,999.7295231368602
999.8313042960935,2725920,4,27,633.8104588106287,999.6825940541893,0.05382082172068383,608.6577006875704,1.2800891172802764,0.8703590808084323,3.5969602626022406,0.9999990608890583,999.765679817471
999.8549024590133,2826880,4,28,633.8111673736283,999.6412435989658,0.0877777515101932,618.5986909499206,1.27812693719623,0.8686529539655603,3.5899092987045953,0.9999995194282173,999.7740912394705
999.8655745795288,2927840,4,29,633.832946436858,999.7769721208978,0.035699853666924186,603.3445355579889,1.2762239903887227,0.8670015253886965,3.5830843880458936,0.9980805489000242,999.8078540690201
999.8822262423623,3028800,4,30,633.8026290441629,999.6586158949063,0.0844178897403292,631.0560106108852,1.2770612503615038,0.8677277350329553,3.586085617412387,0.9999988108191625,999.7579363474881
999.8214415911383,3129760,5,31,507.0259916735702,0.0,399.89188727787916,618.3428070403675,1.2769824093289797,0.8676593251791618,3.585802897864687,0.9695515395221146,799.7837602247178
999.8527874365411,3230720,4,32,633.7885439103086,999.5652844911034,0.10452824506283519,610.8443050622842,1.275089677587584,0.8660186320194947,3.579022353801234,0.7859388281787038,999.7330827207169
999.8912843272409,3331680,4,33,633.8602829779462,999.7589524234187,0.05022009973818593,618.3606243573292,1.2723402820654754,0.8636408744663661,3.5691957206089175,0.9986599634498275,999.8365049131958
999.8534357146698,3432640,4,34,633.8342020814205,999.6438037689145,0.08729535701090574,559.7170556087942,1.2701972995163182,0.8617920888088725,3.561555186155142,0.9999994131970262,999.7947165488229
